Title,Director,Cast,Genre,year,Notes,Notes/Music,Music
Dushman-e-Iman,Homi Master,"Ebrahim, Jamuna, Raja Babu",,1931,Pratap Pictures.,,
Dushman Ki Raat a.k.a. Night of Terror,Balasaheb Yadav,"Nandrekar, Sushila Devi, Balasaheb Yadav, Padmabai",,1931,"Maharashtra Film Co, Kohlapur.",,
Eye For An Eye a.k.a. Meethi Chhuri,Madanrai Vakil,"Zubeida, Yakub, Khurshid, Romila, Ghulam Qadir, Sankatha Prasad, Salvi",,1931,Sagar Film Company. Silent film.,,
Farari a.k.a. Outlaw,Y. D. Sarpotdar,,,1931,University Art Federation.,,
Farebi Daku a.k.a. Mysterious Bandit,Abdul Rashid Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Action,1931,United Player's Corp. Lahore.,,
Farebi Shahzada,A. R. Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Costume Action,1931,United Player's Corp.,,
Fauladi Firman a.k.a. Fists of Steel,Baburao,"Wamanrao Kulkarni, Master Bachchu, Jen, Baburao Gade",Action,1931,"Surya Film Co, Bangalore.",,
Gayab-e-Garud a.k.a. Black Eagle,Harilal M Bhatt,"Keki Adjania, Miss Mani, Paro Nag",,1931,"Mahavir Photoplays, Hyderabad",,
Ghar Ki Lakshmi,Kanjibhai Rathod,"Rampyari, M. Gaznavi, Sardar",,1931,Krishnatone. Silent film,,
Ghulami Zanjeer,,"Haider Shah, Durga, Rafiq Ghaznavi, Manohar",,1931,Krishna Film Co.,,
Ghunghatwali,Nandlal Jaswantlal,"Madhuri, Ishwarlal, Baburao Sansare, Thatte",,1931,Ranjit Film Co.,,
Golibar,Bhagwati Mishra,"Prithviraj Kapoor, Ermeline, Mazhar Khan, Romila",,1931,Sagar Movietone,,
Gulam,Moti B. Gidwani,"Master Vithal, Manorama, Zaverbhai Qaiser",,1931,Imperial Film Company.,,
Gwalan a.k.a. Milkmaid,Nagendra Majumdar,"E. Billimoria, Sultana",,1931,Ranjit Film Company. Music: Lyrics:,,
Harishchandra,Kanjibhai Rathod,"Haidar Shah, Neelam, Kashinath, Master Mohammed, Fateh Shah",Mythology,1931,Talkie. Krishnatone. Music: Master MohammedLyrics:,,
Heer Ranjha,J. P. Advani,"Shanta Kumari, Master Fakir",Legend Romance,1931,Talkie. Krishnatone. Music: Ali BakshLyrics:,,
Hoor-E-Misar,Prafulla Ghosh,"Zubeida, Master Vithal",,1931,Sagar Film Company.,,
Hoor-E-Roshan,Nanubhai Vakil,"D. Billimoria, Madhuri",,1931,Ranjit Film Company,,
Hridaya Veena,A. P. Kapoor,"P. Jairaj, Zebunissa, Ata Mohammed",,1931,Sharda Film Co.,,
Husn Pari,A. P. Kapoor,"P. Jairaj, Mehtab",,1931,Sharda Film Co.,,
Intaqam,Haribhai Desai,"Manohar, Waman Rao, Jena, Peters, Zhunzharrao Pawar, Baburao Gade",,1931,"Surya Film Company, Bangalore.",,
Iraq Ka Chor,K. P. Bhave,"Sushila, Vasantrao Pehalwan",Costume Action,1931,"National Film Co, Hyderabad",,
Jadu-E-Mohabbat a.k.a. Magic of Love,Harshadrai Mehta,"Gulab, Nandram",,1931,Sharda Film Co.,,
Jamai-Babu,Kalipada Das,"Kalipada Dass, Radharani, Pravat Coomar, Sibapada Bhowmick, Amulya Bandhopadhay, Rajen Barooah, Sadhana Devi",Comedy,1931,Hira Film Coy. Silent film,,
Kamar Al-Zaman,Gazanfarali Shah,"W. M. Khan, Sultana, Pramila, Mazhar Khan, Cho Cho Lam, Jamshedji, Manorama Sr, Tarabai, Hansraj",Costume,1931,Imperial Film Company,,
Khooni Katar a.k.a. Golden Dagger,Abdul Rashid Kardar,"Miss Gulzar, Gul Hamid, M. Ismail, Hiralal, Ghulam Qadir, M. Zahoor",Action,1931,United Player's Corp. Lahore.,,
Khuda Ki Shaan,Rama Chowdhary,"Sulochana (Ruby Myers), Salvi, Elizer, Sushila, Raghunath, Makanda",,1931,Imperial Film Company,,
Kismet Ki Hera Pheri,R. L. Shorey,"Haider Shah, Zohrajan, Maqbul, Miss Sardar, Abdul Rashid Kardar, Harold Lewis (Majnu), Hukum Singh, Kamla Devi",Costume,1931,"Oriental Players, Lahore. Pioneer Film Co., Punjab.",,
Laila Majnu 1,J. J. Madan,"Jehanara Kajjan, Master Nissar, Shaila",Legend Romance,1931,Talkie. 24 songs. Madan Theatres Ltd. Music: Brijlal VarmaLyrics:,,
Laila Majnu 2,Kanjibhai Rathod,"Haider Shah, Rampyari, Rafiq Ghaznavi, Mangle, Fatehsingh, Ali Bux",Legend Romance,1931,Krishnatone. Music: Lyrics:,,
Namak Haram Kon a.k.a. A Bid For The Throne,Madanrai Vakil,"Prithviraj Kapoor, Ermiline, Mubarak, Leelavati, Jagdish Sethi, Zaverbhai Qaiser",Costume,1931,Imperial Film Company.,,
Noor Jahan,Ezra Mir,"Mazhar Khan, Vimala, Mubarak, Nayampally, Jamshedji, Hadi, Jilloobai, Zaverbhai",Historical Drama,1931,Talkie. Imperial Film Company. Music: Joseph DavidLyrics:,,
Pak Daman a.k.a. The Pure,Kanjibhai Rathod,"Rampyari, Haider Shah, Yakbal, Vishnu",,1931,Krishnatone.,,
Raj Tilak,Madanrai Vakil,"Mazhar Khan, Ermeline, Mehboob Khan, Rustam Irani, Elizer, Gohar",Costume,1931,Imperial Film Company.,,
Romantic Prince a.k. Meri Jaan,Prafulla Ghosh,"Master Vithal, Zubeida, Yakub, Mehboob Khan, Sankatha Prasad",,1931,Sagar Movietone. Silent film.,,
Roop Sundari a.k.a. Wages of Sin,,"Sultana, Shahzadi, Zubeida",,1931,Mysore Pictures Corporation. Silent Film,,
Samaj Ka Shikar,M. Gidwani,"Patience Cooper, Gul Hamid, Master Mohan, Sharifa",Social,1931,Madan Theatres Ltd.,,
Satyawadi Raja Harishchandra,J. J. Madan,"Jehanara Kajjan, Mohammed Nawab, Patience Cooper, Sharifa,",Mythology,1931,Madan Theatres Ltd. Music: Lyrics:,,
Sea Goddess a.k.a. Dariani Devangana,Dhirubhai Desai,"Padma Devi, Zebunissa, Chandra Rao Kadam, Pawar, Ata Mohammed",Fantasy,1931,Saroj Film Company. Silent,,
Shakuntala 1,J. J. Madan,"Master Nissar, Jehanara Kajjan, Shehla, Nawab, Sharifa",Mythology,1931,Talkie. Madan Theatres Ltd. Music: Brijlal SharmaLyrics:,,
Shakuntala 2,M. Bhavnani,"Zebunissa, Ashraf Khan, Zahiruddin, A. P. Kapoor, Najju Begum, Ranibala, Prabhashankar, Dinkar Bidkar",Mythology,1931,Talkie. Saroj Movietone. Music: Lyrics: A. P. Kapoor,,
Sher-E-Jawan a.k.a. Dashing Youth,"Ramakant, Gharekhan","Haider Shah, Rampyari, Charlie, Madhukar Gupte, Ghulam Hussain",,1931,Krishna Film Company. Silent film.,,
Shirin Farhad,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mohamed Hussain, Master Mohan, Sharifa, Abdul Rehman Kabuli",Legend Romance,1931,Talkie. Madan Theatres Ltd. Music: Brijlal VarmaLyrics: Agha Hashar Kashmiri,,
Shuri Sinha a.k.a. Lioness,Prafulla Ghosh,"Ram Pyari, Haider Shah, Rafiq Ghaznavi, Miss Sardar",,1931,Krishna Film Company. Silent Film.,,
Third Wife,,,Social,1931,Madan Theatres Ltd.,,
Toofan,Bhagwati Mishra,"Prithviraj Kapoor, Ermeline, Fali Merchant",,1931,Sagar Movietone.,,
Toofani Taruni,Bhagwati Prasad Mishra,"Yakub, Ermeline, Jal Merchant, Laxmi",Action,1931,Sagar Film Company.,,
Trapped a.k.a. Farebi Jaal,M. Bhavnani,"Durga Khote, Jal Khambata, Enakshi Rama Rau, Master Vasant, Sushila, Annapurna, Talpade",Social,1931,Talkie. Indian Art Productions. Music: Lyrics: Vasant Amrit,,
Veer Abhimanyu,Prafulla Ghosh,"Zubeida, Yakub, Jal Merchant, Baburao Sansare, Mehboob Khan, Sankatha Prasad, Jilloobai",Mythology,1931,Sagar Movietone. Music: S. P. Rane,,
Alibaba And Forty Thieves,J. J. Madan,"Jehanara Kajjan, Patience Cooper, Mohammed Nawab, Mukhtar Begum, Sorabji Kerawala",Fantasy,1932,Madan Theatres Ltd.,,
Ankh Ka Tara,Jyotish Bannerjee,"Jehanara Kajjan, Indubala, Narmada Shankar, Champalal, Chanda, Laxmi",Social,1932,Madan Theatres Ltd. Music: Motilal Nayak,,
Ayodhya Ka Raja,,"Durga Khote, Govindra Tembe, Master Vinayak, Baburao Pendharkar, Kumar Digambar, Buwa Saheb, Ebrahim, Shankar Rao Bhosle, Nimbalkar",Religious,1932,Prabhat Film Company. Music: Govindrao Tembe,,
Bhakta Prahlad,Kanjibhai Rathod,"Haidar Shah, Neelam, Chandrarao",Devotional,1932,Vishnu Pictures.,,
Bharati Mata,Pesi Karani,"Zohrajan, Khalil, Mushtari, Jilloobai, Dinkar, Hadi, Jamshedji",,1932,Imperial Film Company Music: Pransukh NayakLyrics:,,
Bhartruhari,A. P. Kapoor,"Zebunissa, Tarabai, ashraf Khan, Miss Iqbal, Chandera Rao, Zahiruddin, Kasim Ali",Legend,1932,"Saroj Movietone. Music: Sunderdas Bhatia, Damodardas Lyrics:",,
Bhasmasur Mohini,Kanjibhai Rathod,Lakshmi,Mythology,1932,Bharat Movietone.,,
Bhutia Mahal,Jayant Desai,"E. Billimoria, Kamla Devi, Ishwarlal, Dixit, Shanta Devi, Ghory, Keki Adjania",Suspense,1932,Ranjit Film Company. Music: Lyrics:,,
Bilwamangal,Fram Madan,"Master Nissar, Jehanara Kajjan, Patience Cooper, Nawab, Sharifa, Mohamed Ishaq, A. R. Kabuli",Devotional Biopic,1932,Madan Theatres Ltd. Music: Brijlal Varma,,
Bishnu Maya,Jyotish Banerjee,"Ahindra Choudhury, Kanan Devi, Uma Sashi Dhiren Das, Bela Rani, Jaynarayan Mukhopadhyay, Renubala, Naresh Mitra, Shishubala",Religious,1932,Madan Theatres Ltd.,,
Bulbul-E-Baghdad,Nanubhai Vakil,"Yakub, Khatoon, Sudhir, Baburao, Dinkar, Master Bachchu, Sushila, Mehboob Khan",Fantasy,1932,Sagar Movietone.,,
Char Chakram,Jayant Desai,"E. Billimoria, Shanta Kumari, Ishwarlal, Kamla Devi, Dixit, Ghory, Keki Adjania",Comedy,1932,Ranjit Film Company. Music: Jhande KhanLyrics:,,
Chatra Bakavali,J.J. Madan,"Master Nissar, Jehanara Kajjan, Patience Cooper, Valatoo, Mukhtar Begum, A. R. Kabuli, Shaihla",Fantasy,1932,"Madan Theatres Ltd., Bharat Laxmi. Music: Nagardas Nayak",,
Chira Kumari,Amar Choudhary,"Amar Choudhary, Rani, Dundari, Radharani, Kshirgopal Mukhopadhyay",,1932,Madan Theatres.,,
Dagabaz Ashiq,Pesi Karani,"Prithviraj Kapoor, Zohrajan, Mushtari, Baldev Singh, Rustam Poonawala, Jamshedji Khansaheb",Costume,1932,Imperial Film Company. Music: Firojshah MistryLyrics:,,
Do Badmash,Jayant Desai,"Shanta Kumari, Dixit, Ghory",Social,1932,Ranjit Film Company. Music: Lyrics: Dhaniram Prem,,
Educated Wife,,Patience Cooper,Social,1932,Madan Theatres Ltd. Music: Lyrics:,,
Gul Bakavali,A. P. Kapoor,"Ashraf Khan, Zebunissa, Ranibala, Ghulam Moammed, Prabha Shankar, Najju Begum, Zahiruddin, Kasim Ali",Legend,1932,Saroj Movietone,,
Gulru Zarina,J. J. Madan,"Master Nissar, Jehanara Kajjan, A. R. Kabuli, Sorabji Kerawala",Fantasy,1932,Madan Theatres Ltd. Music: Brijlal VarmaLyrics:,,
Hathili Dulhan,J. J. Madan,"Patience Cooper, Leela, Laxmi, Abbas, Shaila, Mukhtar Begum",Social,1932,Madan Theatres Ltd.,,
Heer Ranjha,Abdul Rashid Kardar,"Rafiq Ghaznavi, Shanta Kumari, Anwari, M. Esmail, Master Fakir",Legend Romance,1932,"Music: Rafiq Ghaznavi, B. R. Devdhar Lyrics:",,
Hind Kesari,Homi Master,"Padma, Sultan Alam, Inamdar",,1932,Jayant Pictures. Silent Film,,
Hindustan,Sorabji Kerawala,"Rose, Mukhtar Begum, Narbada Shankar",,1932,Madan Theatres Ltd. Music: Nagar Das NayakLyrics: Agha Hashar Kashmiri,,
Indrasabha,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mukhtar Begum, A. R. Kabuli, Violet Cooper, Sylvia Bell, Wilayat Hussain, Pearl, Bira Pahelwan",Fantasy,1932,Madan Theatres Ltd. Music: Nagardas Nayak,,
Jalim Jawani,B. P. Misra,"Master Vithal, Ermeline, Jamshedji, Rustom Poonawala, Sakhu, Khansaheb, Hadi,",Costume,1932,Imperial Film Company.,,
Jalti Nishani,V. Shantaram,"Master Vinayak, Leela, Baburao Pendharkar, Kamla Devi, Shankarrao Bhosle, Gajanan Jagirdar, Nimbalkar, Budasaheb",Costume,1932,Prabhat Film Company. Music: Govindrao Tembe,,
Khuda Dost,G. R. Sethi,"Master Mohammed, Bibijan, Bala, Haridas",Costume,1932,Bharat Movietone. Music: Master MohammedLyrics:,,
Krishnavtar,"K. Pritamlal, Maneklal Patel","Shanta Kumari, Haidar Shah, Das, Kashinath, Jyotsna, Bhole",Religious,1932,Krishna Movies. Music: Keshavrao BholeLyrics:,,
Laheri Lutaru a.k.a. Gay Bandit,R. N. Vaidya,"Harishchandra Rao, Manjula, Sunita, Sardar Begum, Nirmala, Ghatwai, Ali Bahadur, H. More, Padma, K. Budhkar, Pawar, Manohar",Costume,1932,Paramount Film Company. Silent Film.,,
Madhuri,R. S. Choudhary,"Ghulam Mohammed, Sulochana (Ruby Myers), Hadi, Chandabai, Jamshedji, Khansaheb, Vinayakrao Patwardhan",Drama,1932,Imperial Film Company. Music: Prasansukh Nayak,,
Maya Bazar,Nanubhai Vakil,"Yakub, Khatoon, Sudhir Baburao, Dinkar, Master Bachchu",Mythological,1932,Sagar Movietone. Music: S. P. RaneLyrics:,,
Maya Machhindra,V. Shantaram,"Durga Khote, Master Vinayak, Baburao Pendharkar, Leela Chandragiri, Govindrao Tembe, Hirabai, Nimbalkar, Babu Purohit",Mythological,1932,Prabhat Film Company. From the play Siddhasansar by Shankar Trivedi. Music: Govindrao Tembe,,
Meerabai,Ramnik Desai,"Zubeida, Khatoon, Kamla, Sankatha Prasad, Jal",Devotional,1932,Sagar Movietone. Music: S. P. RaneLyrics:,,
Mohabbat Ke Ansu,Premankur Atorthy,"K. L. Saigal, Mahajabeen, Akthari Muradabadi, Ansari, Sadiq",Social,1932,New Theatres. Music: R. C. BoralLyrics:,,
Muflis Ashiq,J. J. Madan,"Vithaldas Panchotia, Mukhtar Begum, Shaila, Dhannubhai, Vilayat Hussain, Abbas",Social,1932,Madan Theatres Ltd. Music: Nagar Das NayakLyrics:,,
Navachetan,G. R. Sethi,"Kamla, Badri Prasad, Sushila, Haridas, Haidar Shah",Social,1932,Krishna Music: Madhavlal MasterLyrics: G. R. Sethi,,
Nek Abla,Rustom Poonawala,"Mushtari, Ghulam Mohammed, Phirojshah Mistry, Jamshedji Khansaheb, Hadi",Social,1932,Imperial Film Company. Music: Lyrics:,,
Niti Vijay,Moti Gidwani,"Ghulam Mohammed, Zohrajan, Khalil, Mushtari, Jillobai, Hadi, Kamla",Costume,1932,Imperial Film Company.,,
Pak Daman Raqasa,B. R. Oberoi,"Mukhtar Ahmed, Najju Begum, Sajjad Sarwar",Social,1932,Elephanta M Music: Lyrics:,,
Parwana,H. E. Khateeb,"Padma, Nure Watan, Kamla Kumari, Ram Kunwar, Rahim, Allavally, Shubi, A. Isaq, Agha, Kesari Singh",,1932,New Western India Film Company. Silent Film.,,
Pati Bhakti,,"Patience Cooper, Master Mohan, Jahanara Kajjan, Rosy, Surajram, Narbada Shankar",Social,1932,Madan Theatres Ltd. Music: Master Mohan,,
Pavitra Ganga,J. K. Nanda,"Nalini Tarkhud, Nambiar, Hiralal, Inder",Social,1932,Oriental Pictures. Music: Rafiq Ghaznavi,,
Prahlad,Priyanath Ganguly,"Kanan Devi, Ahindra Choudhury, Niharbala, Jaynarayan Mukhopadhyay, Mrinalkanti Ghosh, Dhiren Das, Shanti Gupta, Kunjalal Chakraborty",Devotional,1932,Madan Theatres Ltd.,,
Radha Rani,Chandulal Shah,"E. Billimoria, Gohar Mamajiwala, Baburao Sansare, Keki Adjania, Bhagwandas",Costume,1932,Ranjit Studios. Music: Jhande KhanLyrics: Narayan Prasad Betab,,
Radhe Shyam,"A. P. Kapoor, R. L. Shorey","Master Mohan, Radha, Sunita Devi, D. N. Madhok, Gangaprasad Pathak, Phool Kumari, Jamuna, J. N. Dar",Religious,1932,"Kamla Movies. Music: Bannekhan, NawabkhanLyrics:D. N. Madhok",,
Ras Vilas,Nagendra Majumdar,"Gohar Karnataki, Mohini, Anant Damle, Panna, Athavale, Lallubhai, Hanumant Rao",Mythology,1932,Sharda Movietone. Music: Lallubhai NayakLyrics:,,
Roshanara,G. R. Sethi,"Haidar Shah, Tarabai, Khan, Rafiq Ghaznavi",Costume,1932,Bharat Movietone. Music: Master Mohammed,,
Sati Madalsa,B. P. Misra,"D. Billimoria, Ermiline, Hadi",Mythology,1932,Imperial Film Company.,,
Sati Savitri,Chandulal Shah,"Gohar Mamajiwala, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Bhagwandas, Shanta",Mythology,1932,Ranjit Studios. Music: Jhande KhanLyrics: Nrayan Prasad Betab,,
Sati Sone,Madanrai Vakil,"Jamshedji, Mushtari, Boman Shah, Khansaheb, Jilloobai, Hadi, Mukunda",Mythology,1932,Imperial Film Company. Music: Pransukh NayakLyrics:,,
Sassi Punnu,"S. R. Apte, Chimanlal Luhar","Baburao Apte, Shivrani Ghosh, Majid, Lobo, Nandram, Athavale, Majumdar, Bhagwandas, Himmatwala, Sushila",Legend Romance,1932,Sharda Movietone. Music: B. R. DevdharLyrics: Pandit Ugra,,
Sheil Bala,Chandulal Shah,"Gohar Mamajiwala, Bhagwandas, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Shanta, Gangaprasad Pathak",Costume,1932,Ranjit Studios. Music: Jhande KhanLyrics:,,
Shikari,Naval Gandhi,"P. Jairaj, Sita Devi, Jagdish Sethi, Shahzadi, Jal Khambata, Lovji Lavangia, B. Khan, Udwadia",Social,1932,Eastern Film Ltd. Music: B. R. DevdharLyrics: Munshi Dil,,
Shravan Kumar,A. R. Kabuli,"Yusuf Effendi, Panna, A. R. Kabuli, Mukhtar Begum",Mythology,1932,Madan Theatres Ltd. Music: Nagar Das Nayak,,
Shyam Sunder,Bhal G. Pendharkar,"Shahu Modak, Shanta Apte, Raja Sandow, [], Baburao Apte",Mythology,1932,Music: Baburao KetkarLyrics: Munshi Aziz,,
Subah Ka Sitara,Premankur Atorthy,"K. L. Saigal, Rattanbai, Mazhar Khan, A. M. Shiraji, Sheela, Ansari, Siddiqui, Ali Mir",Costume,1932,New Theatres. Music: R. C. BoralLyrics: Arzu Lucknavi,,
Subhadara Haran,Prafulla Ghosh,"Zubeida, Master Bachchu, Yakub, Sankatha Prasad, Jal Merchant, Khatoon, Shivram",Mythological,1932,Sagar Movietone. Music: Lyrics:,,
Toofan Mail,JBH Wadia,"Yashwant Dave, Padma, Narayan Pai, Adi Patel, Manchi Thuthi, JBH Wadia",Action,1932,Wadia Brothers. Silent film.,,
Vanarsena,Homi Master,"Padma, Vasantrao Pahelwan, Inamdar",,1932,Jayant Pictures. Silent film.,,
Vanraj Kesari,Harshadrai Mehta,"Navinchandra, Padma, Vasant Bhandari, Baburao Apte, Bhim, Bhagwandas, Lobo",Action,1932,Mehta Luhar Productions. Silent film.,,
Veer Kunal a.k.a. Son Of Ashoka,"M. Bhavnani, G. Deware","Mubarak, Sunalini Devi, Mehtab, Ashraf Khan, Zahiruddin, Miss Iqbal, Zafar Khan",Historical Drama,1932,Indian Art Production. Music: Lyrics: Munshi Abbas Ali,,
Zarina,Ezra Mir,"Zubeida, Jal Merchant, Yakub, Baburao, Nayampally, Sanhatha Prasad, Charlie",Costume,1932,Music: S. P. RaneLyrics:,,
Zinda Lash,Premankur Atorthy,"K. L. Saigal, Mahajabeen, Rani, Bikram Kapoor, Ansari, Hafisji,Hamid, Siddiqui",Costume,1932,New Theatres. Music: R. C. BoralLyrics:,,
Aab-E-Hayat,Krishna Gopal,"Kardar, Nazir, Ali Athar, Master Bachcha, A. R. Pehlwan, Nurjahan",Costume,1933,East India Film Company. Music: K. C. Dey,,
Afzal,M. Bhavnani,"Master Nissar, Ameena, Bhudo Advani, A. R. Kabuli, Haseena",Costume,1933,Ajanta Cinetone. Music: B. S. HooganLyrics: Abdul Rahman Kabuli,,
Alif Laila,"Balwant Bhatt, Shanti Dave","Zohrajan, Nazir, Bashir, Gul Banu, Lallubhai, M. Esmail, Pawar",Fantasy,1933,Royal Cinetone. Music: Kikubhai YagnikLyrics: Pandit Anuj,,
Alladin And His Wonderful Lamp,J. J. Madan,"Rose, Leela, Gulzar, Narbada Shanker, Sheela, Mustafa, A. R. Kabuli",Fantasy,1933,Madan Theatres Ltd. Silent film.,,
Ankh Ka Nasha,J. J. Madan,"Mukhtar Begum, Mohammed Hussain, Jahanara Kajjan, Surajram, Rajkumari, Shaila, Rosy, Sushila, Sorabji",Social,1933,Madan Theatres Ltd. Music: Brijlal VarmaLyrics:,,
Aurat Ka Dil,H. R. Soni,"P. Jairaj, Tarabai, Mubarak, Sitara Devi, Alaknanda, Shamsudin, Kamlabai",Social,1933,Trilok Cinetone. Music: H. C. Bali,,
Aurat Ka Pyar,Abdul Rashid Kardar,"Gul Hamid, Anwari Bai, Mazhar Khan, Athar, Bachcha, Mukhtar Begum, A. R. Pahelwan",Social,1933,East India Film Company. Music: Mushtaq Ahmed,,
Awara Shehzada,Master Vithal,"Shahu Modak, Salvi, Javdekr, Sundarabai, Vasantrao Pahelwan, Rani",Action Costume,1933,Saraswati Cinetone. Music: Annasaheb Mainkar,,
Bhagya Chakra,"Haribhai Desai, Baburao Apte",,,1933,Surya Film Company.,,
Bhola Shikar,Jayant Desai,"E. Billimoria, Mehtab, Ghory, Kamla Devi, Ishwarlal, Kesari, Dixit, Shanta Kumari, Rewashankar",Costume,1933,Ranjit Studios. Music: Jhande KhanLyrics: Dhaniram Prem,,
Bhool Bhulaiya,Jayant Desai,"Dixit, Ghory, Kamla Devi, Ishwar, Kesari, Shanta Kumari, Keki Adjania",Comedy,1933,Ranjit Studios. Music: Jhande KhanLyrics Dhaniram Prem,,
Bulbule Punjab,Nanubhai Vakil,"Shahu Modak Zubeida, Yakub, Shahzadi, Rewashankar, Shanta Kumari, Ganga Prasad, Yusuf, Dinkar, Pawar",Legend Romance,1933,Mahalaxmi Cinetone. Music: S. P. RaneLyrics: Pandit Rane,,
Chandrahasa,Sarvottam Badami,"Kamla Devi, Charlie, Miss Gulzar, Master Bachchu, Khatoon, Mehboob Khan, Asooji, Dinkar, Baburao Sansare",Mythology,1933,Sagar Movietone. Music: S. P. RaneLyrics:,,
Char Darvesh,Prafulla Ghosh,"Kanan Devi, Trilok Kapoor, Tulsi Chakravorty, K. Kumar, Radha Bhattacharya, Binoy Goswami, Angurbala, K. Kumar, S. Das",Fantasy,1933,Radha Film Company. Music: Radhacharan BhattacharyaLyrics: Pandit J. Mehra,,
Daku Ki Ladki,M. Gidwani,"D. Billimoria, Sulochana (Ruby Myers), Ghulam Mohammed, Lakshmi, Syed Ahmed, Hadi",Costume,1933,Imperial Film Company. Music: Pransukh Nayak,,
Dhruva,Jyotish Banerji,"Patience Cooper, Prabodh, Jehanara Kajjan, Chanda",Mythological,1933,Madan Theatres Ltd. Music: Brijlal Varma,,
Dorangi Duniya,Pesi Karani,"Mushtari, Jamshedji, Ghulam Rasool, Khansaheb, Khalil, Jilloobai, Hadi, Kesari",Social,1933,Imperial Film Company. Music: Pransukh Nayak,,
Dulari Bibi,Debaki Bose,"K. L. Saigal, Molina Devi, Mir Jan",Comedy,1933,Based on Our Wives Short film.,,
Ek Din Ka Badshah a.k.a. King For A Day,Rajhans,"Sabita Devi, Mazhar Khan, Akhtari Bai, Athar, Indubala, Bachcha, Radharani, A.R. Pahelwan",Historical Drama,1933,"East India Film Company. Music: Moti Babu, N. R. Bhattacharya",,
Hatimtai Part 1,G. R. Sethi,"Maruti, Sushila, Badrprasad, Shanta Kumari, Fakir Mohammed, Savitri, Gulab",Fantasy,1933,Bharat Movietone. Music: Madhavlal MasterLyrics: G. R. Sethi,,
"Hatimtai Part II, III, IV",G. R. Sethi,"Maruti, Sushila, Badrprasad, Shanta Kumari, Fakir Mohammed, Savitri, Gulab, Ebrahim, Kamla",Fantasy,1933,Bharat Movietone. Music: Madhavlal MasterLyrics: G. R. Sethi,,
Husn Ka Ghulam,J. P. Advani,"Gulab, Ashraf Khan, Sadiq, Sardar Begum, Sharifa",Action,1933,Paramount.,,
Id Ka Chand,A. P. Kapoor,"Sardar Begum, Ashraf Khan, Zebunissa, Master Ali Bux, Zahiruddin, Sher Ali",Social,1933,"Saroj Movietone. Music: Sunderdas BhatiaLyrics: Munshi Abbas Ali, Munshi Shams",,
Insan Ya Shaitan,M. Gidwani,"Ermeline, Jaddanbai, Dixit, Malkani, Bhavnani, Manek, Baby Saraswati",Social,1933,Eastern Art Productions. Music: ChandiramLyrics:,,
Intaqam,J. K. Nanda,"Praful Kumar, Sultana, Phool Kumari, Noorjahan",,1933,Amar Movietone.,,
Kala Pahad,Baburao Apte,"Gohar Karnataki, Navinchandra, Shivrani Ghosh, Bhim, Kanti",Costume,1933,Sharda Movietone. Music: Lyrics: Dhaniram Prem,,
Karma,J. L. Freer Hunt,"Devika Rani, Himanshu Rai, Ebraham Sofaer, Sudha Rani, Ghanshyam, Dewan Sharar",Costume,1933,Indo International Talkies. Music: Ernest BroadhurstLyrics:,,
Khubsurat Bala,"D. N. Madhok, M. R. Kapoor","Gulab, Miss Iqbal, Madhav Kale, Mukhtar Begum, Zahiruddin, Usha, J. N. Dar",Social,1933,Sansar. Music: Lyrics: D. N. Madhok,,
Krishna Sudama,Jayant Desai,"Madhuri, Bhagwandas, Ghory, Mehtab, Pathak, Ram Apte, Dixit, Kamla Devi, Shanta Kumari, Keki Adjania, Rewashankar",Religious,1933,Ranjit Studios. Music: Lyrics: Narayan Prasad Betab,,
Kurukshetra,Sardar Balasaheb Yadav,"Balasaheb Yadav, Madhavrao Joshi, Padma, Nandrekar, Shlini, Sharda, Ansuya, Hansa.",Mythology,1933,Chhatrapati Cine. Music: Bhurji Khan Saheb Lyrics: Niranjan Arya,,
Lal-E-Yaman,JBH Wadia,"Padma, Mohini, Boman Shroff, Firoze Dastur, Master Mohammed, Sayani Aatish, Jal Khambata",Costume,1933,"Wadia Movietone. Music: Joseph David, Master MohammedLyrics: Munshi Ashiq",,
Lanka Dahan,Kanjibhai Rathod,"Haidar Shah, Shanta Kumari, Maruti Rao, Master Mohammed, Ratilal, Kashinath",Mythology,1933,Krishna Talkies. Music: Master Madhavilal DamodarLyrics: Gaurishankar Akhtar,,
Madhur Murli,,"Patience Cooper, Leela, Surajram",Devotional,1933,Madan Theatres Ltd. Music: Lyrics:,,
Mahabharat,Nanubhai Vakil,"Zubeida, Master Bachchu, Mehboob Khan, Jal Merchant, Khatoon",Mythology,1933,Sagar Movietone. Music: S. P. RaneLyrics: Joseph David,,
Malati Madhav,A. P. Kapoor,"Zebunissa, Sardar Akhtar, Madhav Kale, Ashraf Khan, Gulab, Iqbal, Nand Kishore, Zafar Khan,",Devotional,1933,Saroj M. Music: Sunderdas BhatiaLyrics: A. P. Kapoor,,
